threshold,accuracy,precision,recall,f1_score,false_acceptance_rate,false_rejection_rate,true_reject_rate,balanced_accuracy,acer,tp,tn,fp,fn,meets_targets
0.3,0.9811320754716981,0.973,0.9908350305498982,0.9818365287588294,0.029157667386609073,0.009164969450101833,0.9708423326133909,0.9808386815816446,0.01916131841835545,973,899,27,9,True
0.35,0.9832285115303984,0.9769076305220884,0.9908350305498982,0.9838220424671386,0.024838012958963283,0.009164969450101833,0.9751619870410367,0.9829985087954675,0.017001491204532558,973,903,23,9,True
0.4,0.9842767295597484,0.9817813765182186,0.9877800407331976,0.984771573604061,0.019438444924406047,0.012219959266802444,0.980561555075594,0.9841707979043958,0.015829202095604247,970,908,18,12,True
0.45,0.9837526205450734,0.9837232960325534,0.984725050916497,0.9842239185750636,0.017278617710583154,0.015274949083503055,0.9827213822894169,0.9837232166029569,0.016276783397043103,967,910,16,15,True
0.5,0.9816561844863732,0.984646878198567,0.9796334012219959,0.9821337417049515,0.016198704103671708,0.020366598778004074,0.9838012958963283,0.9817173485591622,0.01828265144083789,962,911,15,20,True
0.55,0.9790356394129979,0.9865702479338843,0.9725050916496945,0.9794871794871794,0.014038876889848811,0.0274949083503055,0.9859611231101512,0.9792331073799228,0.020766892620077155,955,913,13,27,True
0.6,0.9758909853249476,0.9875,0.9653767820773931,0.976313079299691,0.012958963282937365,0.034623217922606926,0.9870410367170627,0.9762089093972279,0.023791090602772146,948,914,12,34,True
0.65,0.9727463312368972,0.990506329113924,0.9562118126272913,0.9730569948186528,0.009719222462203024,0.04378818737270876,0.990280777537797,0.9732462950825441,0.026753704917455892,939,917,9,43,True
0.7,0.9685534591194969,0.9935760171306209,0.945010183299389,0.9686847599164927,0.0064794816414686825,0.054989816700611,0.9935205183585313,0.9692653508289601,0.030734649171039838,928,920,6,54,True
0.75,0.9622641509433962,0.9945652173913043,0.9317718940936863,0.9621451104100945,0.005399568034557235,0.06822810590631365,0.9946004319654428,0.9631861630295646,0.03681383697043544,915,921,5,67,True
0.8,0.9564989517819706,0.9944994499449945,0.9205702647657841,0.9561078794288737,0.005399568034557235,0.07942973523421588,0.9946004319654428,0.9575853483656134,0.04241465163438656,904,921,5,78,True
